filename,model,split,label,tcg,set,source,license_note,date_added,notes,detection_split
BO-10.jpg,tcg_identifier,test,digimon,digimon,BO,digimoncard.io:BO-10,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Drimogemon,train
BT1-073.jpg,tcg_identifier,test,digimon,digimon,BT1,digimoncard.io:BT1-073,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Kabuterimon,train
BT1-084.jpg,tcg_identifier,test,digimon,digimon,BT1,digimoncard.io:BT1-084,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Omnimon,train
BT10-005.jpg,tcg_identifier,test,digimon,digimon,BT10,digimoncard.io:BT10-005,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Monimon,train
BT10-014.jpg,tcg_identifier,test,digimon,digimon,BT10,digimoncard.io:BT10-014,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,PileVolcamon,train
BT11-012.jpg,tcg_identifier,test,digimon,digimon,BT11,digimoncard.io:BT11-012,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-10,,train
BT11-016.jpg,tcg_identifier,test,digimon,digimon,BT11,digimoncard.io:BT11-016,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Phoenixmon,train
BT12-047.jpg,tcg_identifier,test,digimon,digimon,BT12,digimoncard.io:BT12-047,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Wormmon,train
BT12-060.jpg,tcg_identifier,test,digimon,digimon,BT12,digimoncard.io:BT12-060,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,ChuuChuumon,train
BT13-029.jpg,tcg_identifier,test,digimon,digimon,BT13,digimoncard.io:BT13-029,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,MachGaogamon,train
BT14-036.jpg,tcg_identifier,test,digimon,digimon,BT14,digimoncard.io:BT14-036,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Centarumon,train
BT14-057.jpg,tcg_identifier,test,digimon,digimon,BT14,digimoncard.io:BT14-057,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,ChuuChuumon,train
BT15-003.jpg,tcg_identifier,test,digimon,digimon,BT15,digimoncard.io:BT15-003,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Nyaromon,train
BT15-058.jpg,tcg_identifier,test,digimon,digimon,BT15,digimoncard.io:BT15-058,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Ginryumon,train
BT15-099.jpg,tcg_identifier,test,digimon,digimon,BT15,digimoncard.io:BT15-099,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Venom Infusion,train
BT17-007.jpg,tcg_identifier,test,digimon,digimon,BT17,digimoncard.io:BT17-007,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-10,Agumon,train
BT18-017.jpg,tcg_identifier,test,digimon,digimon,BT18,digimoncard.io:BT18-017,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-10,AncientVolcanomon,eval
BT19-013.jpg,tcg_identifier,test,digimon,digimon,BT19,digimoncard.io:BT19-013,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Shoutmon X5,train
BT2-103.jpg,tcg_identifier,test,digimon,digimon,BT2,digimoncard.io:BT2-103,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-13,Spiral Sword,train
BT2-110.jpg,tcg_identifier,test,digimon,digimon,BT2,digimoncard.io:BT2-110,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-10,,train
BT20-007.jpg,tcg_identifier,test,digimon,digimon,BT20,digimoncard.io:BT20-007,digimoncard.io public API — verify digimoncard.io/api-documentation terms before redistribution,2026-09-10,,train
